"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_750090",-7.07894,32.44701,51,125.5,232,305.5,-74.5,0.187001562952475,0.57938637665797,0.334109786194262,176.25,1187.81347113648,1055.67538000127,2.27584105274106,0,1112,-10,"United Republic of Tanzania",-36.985280336483
"tree_750423",-7.24139,31.76064,86,140,267,320,-54,0.377692020034456,0.594038961238976,0.635803448391181,95,1154.37128531933,896.622554953858,2.01027404559772,7.48024749755859,1002,8,"United Republic of Tanzania",-6.39045967369276
"tree_750678",-5.81472,32.08715,46,140,227,320,-94,0.356429976982127,0.459312052663819,0.776008325744951,160,1251.89630818367,1074.10727845805,2.9988193418845,0.927409946918488,1079,0,"United Republic of Tanzania",-42.3629329401175
"tree_750720",-7.02251,34.12248,119.75,144.75,300.75,324.75,-25,0.0963023160343812,0.598276570420111,0.176289995991221,136.25,1045.49710916578,871.008378310142,1.38269116518763,4.14689874649048,1225,-2,"United Republic of Tanzania",31.3234006527435
"tree_751059",-4.25175,36.04197,41,129,222,309,-88,0.017619726948795,0.609658671882662,0.0289009699384481,275,1230.41554602981,682.181065800134,-0.52583494625532,2.62512421607971,1110,-12,"United Republic of Tanzania",-52.3537193497771
"tree_75269",-26.9103,27.25659,77,114.6,258,294.6,-37.6,0.178157322025086,0.566307944578285,0.318424875131036,116,646.515207413148,649.822024933379,0.178225226315085,2.78028845787048,1327,0,"South Africa",-12.6025906019266
"tree_753472",-6.97392,32.33397,47.6666666666667,127.333333333333,228.666666666667,307.333333333333,-79.6666666666667,0.128378792625662,0.558940774592641,0.229502265740801,166.666666666667,1090.33379312548,1012.19116040263,1.85009972457818,3.35754346847534,1105,0,"United Republic of Tanzania",-41.0750149659622
"tree_754235",-7.18451,34.81012,118.5,139,299.5,319,-20.5,0.083145210787584,0.780259187925313,0.114565843573489,87.5,701.007813494595,784.675064035328,2.20629676548604,2.07631611824036,1095,2,"United Republic of Tanzania",26.3176151232087
"tree_75522",-25.12917,27.0259,94.3333333333333,116.666666666667,275.333333333333,296.666666666667,-22.3333333333333,0.0703963293098383,0.537853403441397,0.1498966085293,111.666666666667,507.112133721719,628.557826489822,-0.298103145334063,4.19395637512207,1119,-10,"South Africa",0.389160057689126
"tree_75653",-27.02398,28.82757,46,85,227,265,-39,0.00361856016586998,0.784792419830136,0.00461085004701395,170,836.384226799011,839.73455293526,-0.874167414895099,1.04105412960052,1529,0,"South Africa",-36.9709505875603
"tree_757020",-7.08318,33.64714,82.6666666666667,146,263.666666666667,326,-63.3333333333333,0.0180794849279837,0.492162062106354,0.0379807676563509,146.666666666667,1056.01590633979,981.384791520155,1.96664918418955,3.8460431098938,1277,-10,"United Republic of Tanzania",-3.1753687251947
"tree_758722",-5.69699,31.80003,56,140,237,320,-84,0.266155602331035,0.500658091625415,0.531611506501265,215,1238.45605373383,1091.82245080293,3.3561858170073,2.62801480293274,1073,-6,"United Republic of Tanzania",-32.2266298317441
"tree_760031",-7.22399,32.14682,82,125.2,263,305.2,-43.2,0.066947010420122,0.617894884561583,0.11111989400854,192,1175.40144183867,1077.47203555339,2.20691793634064,2.63200330734253,1065,-8,"United Republic of Tanzania",-6.58671788100576
"tree_760676",-5.95986,32.44197,106,125.2,287,305.2,-19.2,0.0805858775581836,0.573283133827937,0.139904044781592,144,1276.57947298819,1198.24104248816,2.70208757493365,1.85433411598206,1092,-12,"United Republic of Tanzania",19.6607894013858
"tree_76113",-31.66611,28.8263,96,114,277,294,-18,0.016111933035807,0.511227987336034,0.0315161404205683,105,634.146424111548,622.856282043645,-3.25376238871609,22.4601345062256,647,18,"South Africa",-7.18902912408106
"tree_76123",-25.62426,28.25829,84,107,265,287,-23,0.0265661727211136,0.551596401297944,0.0491778294203277,140,680.3042145372,683.541595055704,1.41938931273111,2.05643534660339,1218,0,"South Africa",-7.23757275712947
"tree_763752",-6.62343,33.09192,82.25,128.75,263.25,308.75,-46.5,0.17786629825478,0.565711853138205,0.297435085034836,140,1120.41517002076,1095.16553949505,2.03763032752268,9.47689437866211,1250,-6,"United Republic of Tanzania",-2.49261389702308
"tree_76412",-28.68512,29.90139,108.5,131,289.5,311,-22.5,0.034020521256544,0.60286259564018,0.0538942519881398,157.5,692.059974590316,739.402170071289,-0.550802160922175,8.22165012359619,898,-8,"South Africa",11.846994291722
"tree_764203",-6.42673,32.27736,83.5,133.5,264.5,313.5,-50,0.230144286387149,0.524412991880844,0.44151463464224,162.5,1183.1020540599,1137.84580864276,3.00143660912446,2.62980008125305,1106,0,"United Republic of Tanzania",-3.42922716388151
"tree_764268",-6.72989,35.1488,133.5,135.5,314.5,315.5,-2,0.00753604142204148,0.682953847150338,0.00875254838296893,110,916.435702859655,896.904756684087,1.60416612247918,0.927409946918488,1062,-4,"United Republic of Tanzania",42.2784185616313
"tree_764557",-4.31656,33.73611,92.6666666666667,125.666666666667,273.666666666667,305.666666666667,-33,0.0336117597482887,0.623061863092736,0.0521803578169909,136.666666666667,1104.3722114176,1074.89689077044,0.707561222882003,6.53914594650269,1273,0,"United Republic of Tanzania",8.08135381175831
"tree_766112",-7.20245,32.59621,72.25,127,253.25,307,-54.75,0.183977298064602,0.507443926508308,0.359458054349466,143.75,1171.20163301218,1044.79940760991,2.47996160862386,1.85433411598206,1157,2,"United Republic of Tanzania",-15.0168375012737
"tree_76849",-25.53366,26.76691,114.333333333333,116.666666666667,295.333333333333,296.666666666667,-2.33333333333333,0.0248573267391703,0.404703327354059,0.0702165086660825,130,550.12563088309,682.181141790562,1.45369877085472,23.1756591796875,1389,-4,"South Africa",26.3961737636076
"tree_768725",-8.55826,31.76379,86,137,267,317,-51,0.059185443993352,0.66018474733066,0.0926479092489532,150,1330.50803967298,1004.49981154734,0.760636042463751,4.76946115493774,1774,-6,"United Republic of Tanzania",10.1366583309789
"tree_768975",-6.60747,33.15016,87.25,129,268.25,309,-41.75,0.0975869625098735,0.508734184023722,0.202693596851335,148.75,1134.80495199514,1112.02154312515,1.86555514520972,1.31583154201508,1206,2,"United Republic of Tanzania",1.89369004907707
"tree_769056",-6.46134,32.02585,81,140,262,320,-59,0.321250872295133,0.456925977861903,0.703069835946655,160,1324.67127609253,1077.74543247025,2.87021532172135,0.933337032794952,1142,-6,"United Republic of Tanzania",-6.08792407590722
"tree_770767",-5.69473,31.78498,51,140,232,320,-89,0.22539880862201,0.483814258624707,0.465878804942066,215,1249.18858551979,1119.84700691092,3.23039189053818,2.931880235672,1076,12,"United Republic of Tanzania",-36.7684883466914
"tree_770819",-8.86846,32.39446,86,137,267,317,-51,0.172646502622169,0.52473043882264,0.32469067066437,186.666666666667,1301.77285321841,1049.73304404501,0.987596915406959,10.0133333206177,1516,-20,"United Republic of Tanzania",5.77325727218101
"tree_775135",-4.56879,31.17072,56,103,237,283,-47,0.212378735945891,0.4263250128019,0.498161565867534,170,1269.49197614193,1213.57566332901,0.18566125381056,0.930365860462189,1159,-6,"United Republic of Tanzania",-28.8196411958053
"tree_775430",-5.40554,34.53175,84.75,142.25,265.75,322.25,-57.5,0.0363700932896357,0.604357562751333,0.0569242141298394,138.75,973.42451633564,975.094177660112,1.15742490331543,1.85433411598206,1333,8,"United Republic of Tanzania",-0.0946052939705939
"tree_77635",-30.03057,29.9224,36,103,217,283,-67,0.051425577772108,0.376154035582056,0.136714146087872,215,847.658350318025,915.648108959198,-3.03863998590017,12.9360761642456,1383,-16,"South Africa",-48.7221668625812
